number,call
1,Upworthy
2,A Visualization Of World War II Like You've Never Seen Before
3,A 3-year-old gave her mom a 25-word master class on what forgiveness really means.
4,4 Ladies Get The 'Cover Model' Makeover Of Their Dreams ... And Then Hate The Results
5,5 Big Things We've Been Led To Believe About Africa That Actually Aren't True
6,A 6-year-old designed a custom t-shirt for his first day of school and it's seriously the best
7,"7 secrets to raising awesome, functional teenagers."
8,8 Warning Signs Of A Relationship Gone Horribly Wrong
9,9 out of 10 Americans are completely wrong about this mind-blowing fact.
10,10 photographs that boldly show how very different life is in the 2 Koreas
11,11-yr-old letter writer receives hundreds of personal notes from grateful postal workers
12,12 fantastic photos that promote judgment-free parenting
13,13 dogs with jobs are further proof that humans owe a lot to this exceptional species.
14,14 beach body cartoons that are just the right amount of real.
15,15 badass women of World War II you didn't learn about in history class.
16,16-Year-Old Girl Asks Her Friends About ‘Slut Shaming.’ No One Is Ashamed.
17,17-year-old builds a website to closely track the Coronavirus epidemic and now millions are using it
18,18 realistic family photos. Because we know parenting isn't picture-perfect.
19,Man who has 'recovered' from COVID-19 explains how its impact goes far beyond death tolls
20,"20 years ago, a doctor published a study. It was completely made up, and it made us all sicker."
21,"Most 21-Year-Olds Have A Messed Up Sense Of Humor. Well, This Guy Has An Awesome Reason For It."
22,There’s A Reason It’s Called The ‘Minimum’ Wage. It’s Been Changed 22 Times To Keep It That Way.
23,23 incredible photos from 2016 that prove it wasn't a total dumpster fire.
24,24 relationship comics that illustrate the beauty in the mundane moments.
25,25 clichés that are actually true and how they could change your life.
26,"Everyone poops, but 2.6 billion people do it in a really crappy way."
27,27 easy things you can do to make yourself feel good instantly.
28,Upworthy
29,29 pictures of people refusing to accept the status quo.
30,30 things people don't realize you're doing because of your depression.
31,31 Days of Happiness Countdown: looking back at YouTube's best. (Day 31)
32,"If You Are 32 Or Younger, You Have Something We've Not Seen In This Country At All. Ready?"
33,The viral story of a young hijacking heroine from 33 years ago is a must read
